Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap
tax_fncact_industrialist,industrialist,,,,,,,,,,,
tax_fncact_industrialists,industrialists,,,,,,,,,,,
tax_fncact_innovator,innovator,,,,,,,,,,,
tax_fncact_insider,insider,,,,,,,,,,,
tax_fncact_insiders,insiders,,,,,,,,,,,
tax_fncact_inspector,inspector,1,,,,,1,,,,,
tax_fncact_inspector_general,inspector general,1,,,,,1,,,,,
tax_fncact_inspectors,inspectors,1,,,,,1,,,,,
tax_fncact_installer,installer,,,,,,,,,,,
tax_fncact_instigator,instigator,,,,,,,,,,,
tax_fncact_instructor,instructor,,,,,,,,,,,
tax_fncact_insurgent,insurgent,,,,,,,,,,,
tax_fncact_insurgents,insurgents,,,,,,,,,,,
tax_fncact_intelligence_officer,intelligence officer,,,,,,,,,,,
tax_fncact_interior_minister,interior minister,,,,,,,,,,,
tax_fncact_intern,intern,,,,1,,,,,,,
tax_fncact_interpreter,interpreter,,,,,,,,,,,
tax_fncact_interpreters,interpreters,,,,,,,,,,,
tax_fncact_interrogator,interrogator,,,,,,,,,,,
tax_fncact_interviewer,interviewer,,,,,,,,,,,
tax_fncact_inventor,inventor,,,,,,,,,,,
tax_fncact_investigator,investigator,,,,,,,,,,,
tax_fncact_investment_banker,investment banker,,,,,,,,,,,
tax_fncact_investor,investor,,,,,,,,,,,
tax_fncact_janitor,janitor,,,,,,,,,,,
tax_fncact_jeweler,jeweler,,,,,,,,,,,
tax_fncact_jockey,jockey,,,,,,,,,,,
tax_fncact_journalist,journalist,,,,,,,,,,,
tax_fncact_judge,judge,1,,,,,1,,,,,
tax_fncact_judges,judges,1,,,,,1,,,,,
tax_fncact_jurist,jurist,1,,,,,1,,,,,
tax_fncact_jurists,jurists,1,,,,,1,,,,,
tax_fncact_killer,killer,,,,,,,,,,,
tax_fncact_killers,killers,,,,,,,,,,,
tax_fncact_king,king,,,,,,,,,,,
tax_fncact_knight,knight,,,,,,,,,,,
tax_fncact_knights,knights,,,,,,,,,,,
tax_fncact_labor_leader,labor leader,,,,1,,,,1,,,
tax_fncact_laborer,laborer,,,,1,,,,1,,,
tax_fncact_laborers,laborers,,,,1,,,,1,,,
tax_fncact_labourers,labourers,,,,1,,,,1,,,
tax_fncact_lady,lady,,,,,,,,,,,
tax_fncact_landlord,landlord,,,,,,,,,,,
tax_fncact_landlords,landlords,,,,,,,,,,,
tax_fncact_lawmaker,lawmaker,1,,,,,,,,,,
tax_fncact_lawmakers,lawmakers,1,,,,,,,,,,
tax_fncact_lawyer,lawyer,1,,,,,,,,,,
tax_fncact_lawyers,lawyers,1,,,,,1,,,,,
tax_fncact_leader,leader,,,,,,,,,,,
tax_fncact_leaders,leaders,,,,,,,,,,,
tax_fncact_lecturer,lecturer,,,,,,,,,,,
tax_fncact_lecturers,lecturers,,,,,,,,,,,
tax_fncact_leftist,leftist,,,,,,,,,,,
tax_fncact_leftists,leftists,,,,,,,,,,,
tax_fncact_legislator,legislator,,,,,,,,,,,
tax_fncact_legislators,legislators,,,,,,,,,,,
tax_fncact_librarian,librarian,,,,,,,,,,,
tax_fncact_lieutenant,lieutenant,,,,,,,,,,,
tax_fncact_lieutenant_colonel,lieutenant colonel,,,,,,,,,,,
tax_fncact_lieutenant_general,lieutenant general,,,,,,,,,,,
tax_fncact_lieutenant_governor,lieutenant governor,,,,,,,,,,,
tax_fncact_lieutenants,lieutenants,,,,,,,,,,,
tax_fncact_lifeguard,lifeguard,,,,,,,,,,,
tax_fncact_lifeguards,lifeguards,,,,,,,,,,,
tax_fncact_lobbyist,lobbyist,,,,,,,,,,,
tax_fncact_lyricist,lyricist,,,,,,,,,,,
tax_fncact_magician,magician,,,,,,,,,,,
tax_fncact_magistrate,magistrate,,,,,,,,,,,
tax_fncact_magistrates,magistrates,,,,,,,,,,,
tax_fncact_magnate,magnate,,,,,,,,,,,
tax_fncact_maid,maid,,,,,,,,,,,
tax_fncact_maids,maids,,,,,,,,,,,
tax_fncact_mailman,mailman,,,,,,,,,,,
tax_fncact_major_general,major general,,,,,,,,,,,
tax_fncact_majority_leader,majority leader,,,,,,,,,,,
tax_fncact_man,man,,,,,,,,,,,
tax_fncact_manager,manager,,,1,,,,,,,,
tax_fncact_managers,managers,,,1,,,,,,,,
tax_fncact_managing_director,managing director,,,1,,,,,,,,
tax_fncact_managing_directors,managing directors,,,1,,,,,,,,
tax_fncact_managing_editor,managing editor,,,,,,,,,,,
tax_fncact_manipulator,manipulator,,,,,,,,,,,
tax_fncact_mannequin,mannequin,,,,,,,,,,,
tax_fncact_manufacturer,manufacturer,,1,,,,,,,,,
tax_fncact_mariners,mariners,,,,,,,,,,,
tax_fncact_marquis,marquis,,,,,,,,,,,
tax_fncact_marshal,marshal,,,,,,,,,,,
tax_fncact_marshall,marshall,,,,,,,,,,,
tax_fncact_marshals,marshals,,,,,,,,,,,
tax_fncact_mason,mason,,,,,,,,,,,
tax_fncact_matchmaker,matchmaker,,,,,,,,,,,
tax_fncact_mathematician,mathematician,,,,,,,,,,,
tax_fncact_mayor,mayor,,,,,,,,,,,
tax_fncact_mayoress,mayoress,,,,,,,,,,,
tax_fncact_mayors,mayors,,,,,,,,,,,
tax_fncact_mechanic,mechanic,,,,,,,,,,,
tax_fncact_mechanics,mechanics,,,,,,,,,,,
tax_fncact_mediator,mediator,,,,,,,,,,,
tax_fncact_medic,medic,,,,,,,,,,,
tax_fncact_medical_examiner,medical examiner,,,,,,,,,,,
tax_fncact_medical_workers,medical workers,,,,,,,,,,,
tax_fncact_mercenary,mercenary,,,,,,,,,,,
tax_fncact_merchant,merchant,,,,,,,,,,,
tax_fncact_messenger,messenger,,,,,,,,,,,
tax_fncact_messengers,messengers,,,,,,,,,,,
tax_fncact_meteorologist,meteorologist,,,,,,,,,,,
tax_fncact_midwife,midwife,,,,,,,,,,,
tax_fncact_midwives,midwives,,,,,,,,,,,
tax_fncact_migrant_workers,migrant workers,,,,,,,,,,,
tax_fncact_military_leader,military leader,,,,,,,,,,,
tax_fncact_military_leaders,military leaders,,,,,,,,,,,
tax_fncact_military_officer,military officer,,,,,,,,,,,
tax_fncact_military_officers,military officers,,,,,,,,,,,
tax_fncact_military_personnel,military personnel,,,,,,,,,,,
tax_fncact_militiamen,militiamen,,,,,,,,,,,
tax_fncact_miner,miner,,,,,,,,,,,
tax_fncact_miners,miners,,,,,,,,,,,
tax_fncact_minister,minister,,,,,,,,,,,
tax_fncact_minister_of_finance,minister finance,,,,,,,,,,,
tax_fncact_minister_of_finances,minister finances,,,,,,,,,,,
tax_fncact_ministers,ministers,,,,,,,,,,,
tax_fncact_minority_leader,minority leader,,,,,,,,,,,
tax_fncact_missionaries,missionaries,,,,,,,,,,,
tax_fncact_missionary,missionary,,,,,,,,,,,
tax_fncact_mistress,mistress,,,,,,,,,,,
tax_fncact_moderator,moderator,,,,,,,,,,,
tax_fncact_moderators,moderators,,,,,,,,,,,
tax_fncact_monk,monk,,,,,,,,,,,
tax_fncact_mountaineer,mountaineer,,,,,,,,,,,
tax_fncact_movers,movers,,,,,,,,,,,
tax_fncact_musician,musician,,,,,,,,,,,
tax_fncact_nanny,nanny,,,,,,,,,,,
tax_fncact_national_leader,national leader,,,,,,,,,,,
tax_fncact_national_leaders,national leaders,,,,,,,,,,,
tax_fncact_navigator,navigator,,,,,,,,,,,
tax_fncact_navy,navy,,,,,,,,,,,
tax_fncact_negotiator,negotiator,,,,,,,,,,,
tax_fncact_neurosurgeon,neurosurgeon,,,,,,,,,,,
tax_fncact_news_reporter,news reporter,,,,,,,,,,,
tax_fncact_newspaper_reporter,newspaper reporter,,,,,,,,,,,
tax_fncact_noble,noble,,,,,,,,,,,
tax_fncact_nobleman,nobleman,,,,,,,,,,,
tax_fncact_nominee,nominee,,,,,,,,,,,
tax_fncact_nominees,nominees,,,,,,,,,,,
tax_fncact_notary,notary,,,,,,,,,,,
tax_fncact_novelist,novelist,,,,,,,,,,,
tax_fncact_nun,nun,,,,,,,,,,,
tax_fncact_nurse,nurse,,,,,,,,,,,
tax_fncact_nurses,nurses,,,,,,,,,,,
tax_fncact_nutritionist,nutritionist,,,,,,,,,,,
tax_fncact_occupier,occupier,,,,,,,,,,,
tax_fncact_officeholders,officeholders,,,,,,,,,,,
tax_fncact_officer,officer,1,,1,1,,,,,,,
tax_fncact_officers,officers,1,,1,1,,,,,,,
tax_fncact_official,official,1,,1,,,,,,,,
tax_fncact_officials,officials,1,,1,,,,,,,,
tax_fncact_ombudsman,ombudsman,,,,,,,,,,,
tax_fncact_operator,operator,,,,,,,,,,,
tax_fncact_orderly,orderly,,,,,,,,,,,
tax_fncact_organizer,organizer,,,,,,,,,,,
tax_fncact_organizers,organizers,,,,,,,,,,,
tax_fncact_outlaw,outlaw,,,,,,,,,,,
tax_fncact_overseer,overseer,,,,,,,,,,,
tax_fncact_paedophile,paedo phile,,,,,,,,,,,
tax_fncact_painter,painter,,,,,,,,,,,
tax_fncact_painters,painters,,,,,,,,,,,
tax_fncact_paramedic,paramedic,,,,,,,,,,,
tax_fncact_paramedics,paramedics,,,,,,,,,,,
tax_fncact_paratroopers,paratroopers,,,,,,,,,,,
tax_fncact_party_boss,boss,,,1,,,,,,,,
tax_fncact_pastor,pastor,,,,,,,,,,,
tax_fncact_pastors,pastors,,,,,,,,,,,
tax_fncact_pathologist,pathologist,,,,,,,,,,,
tax_fncact_patriarch,patriarch,,,,,,,,,,,
tax_fncact_patrician,patrician,,,,,,,,,,,
tax_fncact_peacekeepers,peacekeepers,,,,,,,,,,,
tax_fncact_peasant,peasant,,,,,,,,,,,
tax_fncact_peasants,peasants,,,,,,,,,,,
tax_fncact_pediatrician,pediatrician,,,,,,,,,,,
tax_fncact_peer,peer,,,,,,,,,,,
tax_fncact_peers,peers,,,,,,,,,,,
tax_fncact_performer,performer,,,,,,,,,,,
tax_fncact_personal_trainer,personal trainer,,,,,,,,,,,
tax_fncact_pervert,pervert,,,,,,,,,,,
tax_fncact_petty_officer,petty officer,,,,,,,,,,,
tax_fncact_pharmacist,pharmacist,,,,,,,,,,,
tax_fncact_pharmacists,pharmacists,,,,,,,,,,,
tax_fncact_philanthropist,philanthropist,,,,,,,,,,,
tax_fncact_philosopher,philosopher,,,,,,,,,,,
tax_fncact_photographer,photographer,,,,,,,,,,,
tax_fncact_photojournalist,photojournalist,,,,,,,,,,,
tax_fncact_physician,physician,,,,,,,,,,,
tax_fncact_physicians,physicians,,,,,,,,,,,
tax_fncact_physicist,physicist,,,,,,,,,,,
tax_fncact_physiotherapist,physiotherapist,,,,,,,,,,,
tax_fncact_pianist,pianist,,,,,,,,,,,
tax_fncact_pilgrim,pilgrim,,,,,,,,,,,
tax_fncact_pilot,pilot,,,,,,,,,,,
tax_fncact_pilots,pilots,,,,,,,,,,,
tax_fncact_pioneer,pioneer,,,,,,,,,,,
tax_fncact_pirate,pirate,,,,,,,,,,,
tax_fncact_pirates,pirates,,,,,,,,,,,
tax_fncact_playwright,playwright,,,,,,,,,,,
tax_fncact_plenipotentiary,plenipotentiary,,,,,,,,,,,
tax_fncact_plotters,plotters,,,,,,,,,,,
tax_fncact_plumber,plumber,,,,,,,,,,,
tax_fncact_plumbers,plumbers,,,,,,,,,,,
tax_fncact_poet,poet,,,,,,,,,,,
tax_fncact_police,police,,,,,,,,,,,
tax_fncact_police_chief,police chief,,,,,,,,,,,
tax_fncact_police_commissioner,police commissioner,,,,,,,,,,,
tax_fncact_police_officer,police officer,,,,,,,,,,,
tax_fncact_policeman,policeman,,,,,,,,,,,
tax_fncact_policemen,policemen,,,,,,,,,,,
tax_fncact_policewoman,policewoman,,,,,,,,,,,
tax_fncact_political_commissar,commissar,,,,,,,,,,,
tax_fncact_political_leader,leader,,,1,,,,,,,,
tax_fncact_political_leaders,leaders,,,1,,,,,,,,
tax_fncact_political_scientist,scientist,,,,,,,,,,,
tax_fncact_politician,politician,,,,,,,,,,,
tax_fncact_politicians,politicians,,,,,,,,,,,
tax_fncact_politico,politico,,,,,,,,,,,
tax_fncact_pontiff,pontiff,,,,,,,,,,,
tax_fncact_pope,pope,,,,,,,,,,,
tax_fncact_porter,porter,,,,,,,,,,,
tax_fncact_porters,porters,,,,,,,,,,,
tax_fncact_portfolio_manager,portfolio manager,,,,,,,,,,,
tax_fncact_postman,postman,,,,,,,,,,,
tax_fncact_practitioner,practitioner,,,,,,,,,,,
tax_fncact_practitioners,practitioners,,,,,,,,,,,
tax_fncact_preacher,preacher,,,,,,,,,,,
tax_fncact_preachers,preachers,,,,,,,,,,,
tax_fncact_prefect,prefect,,,,,,,,,,,
tax_fncact_presenter,presenter,,,,,,,,,,,
tax_fncact_president,president,,,,,,,,,,,
tax_fncact_presidents,presidents,,,,,,,,,,,
tax_fncact_press_officer,press officer,,,,,,,,,,,
tax_fncact_press_secretary,press secretary,,,,,,,,,,,
tax_fncact_priest,priest,,,,,,,,,,,
tax_fncact_priests,priests,,,,,,,,,,,
tax_fncact_prime_minister,prime minister,,,,,,,,,,,
tax_fncact_prime_ministers,prime ministers,,,,,,,,,,,
tax_fncact_prince,prince,,,,,,,,,,,
tax_fncact_princes,princes,,,,,,,,,,,
tax_fncact_princess,princess,,,,,,,,,,,
tax_fncact_princesses,princesses,,,,,,,,,,,
tax_fncact_principal,principal,,,,,,,,,,,
tax_fncact_private_citizen,private citizen,,,,,,,,,,,
tax_fncact_private_citizens,private citizens,,,,,,,,,,,
tax_fncact_private_investigator,private investigator,,,,,,,,,,,
tax_fncact_producer,producer,,,,,,,,,,,
tax_fncact_professor,professor,,,,,,,,,,,
tax_fncact_professors,professors,,,,,,,,,,,
tax_fncact_program_director,program director,,,,,,,,,,,
tax_fncact_programmer,programmer,,,,,,,,,,,
tax_fncact_project_manager,project manager,,,,,,,,,,,
tax_fncact_prophet,prophet,,,,,,,,,,,
tax_fncact_proprietor,proprietor,,,,,,,,,,,
tax_fncact_prosecutor,prosecutor,,,,,,,,,,,
tax_fncact_prosecutors,prosecutors,,,,,,,,,,,
tax_fncact_prostitute,prostitute,,,,,,,,,,,
tax_fncact_prostitutes,prostitutes,,,,,,,,,,,
tax_fncact_provost,provost,,,,,,,,,,,
tax_fncact_psychiatrist,psychiatrist,,,,,,,,,,,
tax_fncact_psychologist,psychologist,,,,,,,,,,,
tax_fncact_psychotherapist,psychotherapist,,,,,,,,,,,
tax_fncact_public_defender,public defender,,,,,,,,,,,
tax_fncact_public_relations_officer,officer,,,1,1,,,,,,,
tax_fncact_public_servant,public servant,,,,,,,,,,,
tax_fncact_public_servants,public servants,,,,,,,,,,,
tax_fncact_publisher,publisher,,,,,,,,,,,
tax_fncact_punters,punters,,,,,,,,,,,
tax_fncact_quartermaster,quartermaster,,,,,,,,,,,
tax_fncact_queen,queen,,,,,,,,,,,
tax_fncact_queens,queens,,,,,,,,,,,
tax_fncact_rabbi,rabbi,,,,,,,,,,,
tax_fncact_rabbis,rabbis,,,,,,,,,,,
tax_fncact_rancher,rancher,,,,,,,,,,,
tax_fncact_real_estate_developer,developer,,,,,,,,,,,
tax_fncact_receptionist,receptionist,,,,,,,,,,,
tax_fncact_recruiter,recruiter,,,,1,,,,1,,,
tax_fncact_referee,referee,,,,1,,,,,,,
tax_fncact_reformer,reformer,,,,,,,,,,,
tax_fncact_reformers,reformers,,,,,,,,,,,
tax_fncact_reformist,reformist,,,,,,,,,,,
tax_fncact_reformists,reformist s,,,,,,,,,,,
tax_fncact_registrar,registrar,,,,,,,,,,,
tax_fncact_regulator,regulator,1,,,,,,,,,,
tax_fncact_regulators,regulators,1,,,,,,,,,,
tax_fncact_reporter,reporter,,,,,,,,,,,
tax_fncact_representative,representative,,,,,,,,,,,
tax_fncact_representatives,representatives,,,,,,,,,,,
tax_fncact_research_analyst,research analyst,,,,,,,,,,,
tax_fncact_research_assistant,research assistant,,,,,,,,,,,
tax_fncact_research_director,research director,,,,,,,,,,,
tax_fncact_researcher,researcher,,,,,,,,,,,
tax_fncact_reservists,reservists,,,,,,,,,,,
tax_fncact_restaurateur,restaurateur,,,,,,,,,,,
tax_fncact_retailer,retailer,,,,,,,,,,,
tax_fncact_reverend,reverend,,,,,,,,,,,
tax_fncact_righthand_man,righthand man,,,,,,,,,,,
tax_fncact_robber,robber,,,,,,,,,,,
tax_fncact_robbers,robbers,,,,,,,,,,,
tax_fncact_role_model,role model,,,,,,,,,,,
tax_fncact_role_models,role models,,,,,,,,,,,
tax_fncact_runner,runner,,,,,,,,,,,
tax_fncact_running_mate,running mate,,,,,,,,,,,
tax_fncact_sailor,sailor,,,,,,,,,,,
tax_fncact_sailors,sailors,,,,,,,,,,,
tax_fncact_sales_manager,sales manager,,1,,,,,,,,,
tax_fncact_salesman,salesman,,1,,,,,,,,,
tax_fncact_salesperson,salesperson,,1,,,,,,,,,
tax_fncact_saxophonist,saxophonist,,,,,,,,,,,
tax_fncact_scholar,scholar,,,,,,,,,,,
tax_fncact_scholars,scholars,,,,,,,,,,,
tax_fncact_school_principal,school principal,,,,,,,,,,,
tax_fncact_scientist,scientist,,,,,,,,,,,
tax_fncact_scout,scout,,,,,,,,,,,
tax_fncact_screenwriter,screenwriter,,,,,,,,,,,
tax_fncact_scribe,scribe,,,,,,,,,,,
tax_fncact_sculptor,sculptor,,,,,,,,,,,
tax_fncact_secretaries,secretaries,,,,,,,,,,,
tax_fncact_secretary,secretary,,,,,,,,,,,
tax_fncact_secretary_general,secretary general,,,,,,,,,,,
tax_fncact_secretary_of_state,secretary state,,,,,,,,,,,
tax_fncact_section_head,section head,,,,,,,,,,,
tax_fncact_security_officer,security officer,,,,,,,,,,,
tax_fncact_selectman,selectman,,,,,,,,,,,
tax_fncact_selectmen,selectmen,,,,,,,,,,,
tax_fncact_self_employed,employed,,,,1,,,,,,,
tax_fncact_selfemployed,self employed,,,,1,,,,,,,
tax_fncact_senator,senator,,,,,,,,,,,
tax_fncact_senators,senators,,,,,,,,,,,
tax_fncact_senior_vice_president,president,,,,,,,,,,,
tax_fncact_separatist,separatist,,,,,,,,,,,
tax_fncact_separatists,separatists,,,,,,,,,,,
tax_fncact_sergeant,sergeant,,,,,,,,,,,
tax_fncact_sergeants,sergeants,,,,,,,,,,,
tax_fncact_servant,servant,,,,,,,,,,,
tax_fncact_servants,servants,,,,,,,,,,,
tax_fncact_serviceman,serviceman,,,,,,,,,,,
tax_fncact_servicemen,servicemen,,,,,,,,,,,
tax_fncact_settler,settler,,,,,,,,,,,
tax_fncact_settlers,settlers,,,,,,,,,,,
tax_fncact_sex_workers,sex workers,,,,,,,,,,,
tax_fncact_shepherd,shepherd,,,,,,,,,,,
tax_fncact_shepherds,shepherds,,,,,,,,,,,
tax_fncact_sheriff,sheriff,,,,,,,,,,,
tax_fncact_shoemaker,shoemaker,,,,,,,,,,,
tax_fncact_shopkeeper,shopkeeper,,,,,,,,,,,
tax_fncact_singer,singer,,,,,,,,,,,
tax_fncact_singers,singers,,,,,,,,,,,
tax_fncact_skilled_workers,skilled workers,,,,,,,,,,,
tax_fncact_skipper,skipper,,,,,,,,,,,
tax_fncact_skippers,skippers,,,,,,,,,,,
tax_fncact_slave,slave,,,,,,,,,,,
tax_fncact_slaves,slaves,,,,,,,,,,,
tax_fncact_smoker,smoker,,,,,,,,,,,
tax_fncact_smuggler,smuggler,,,,,,,,,,,
tax_fncact_social_worker,social worker,,,,,,,,,,,
tax_fncact_social_workers,social workers,,,,,,,,,,,
tax_fncact_socialite,socialite,,,,,,,,,,,
tax_fncact_sociologist,sociologist,,,,,,,,,,,
tax_fncact_soldier,soldier,,,,,,,,,,,
tax_fncact_soldiers,soldiers,,,,,,,,,,,
tax_fncact_solicitor,solicitor,,,,,,,,,,,
tax_fncact_speaker,speaker,,,,,,,,,,,
tax_fncact_special_agent,special agent,,,,,,,,,,,
tax_fncact_specialist,specialist,,,,,,,,,,,
tax_fncact_spiritual_leader,spiritual leader,,,,,,,,,,,
tax_fncact_spokesman,spokesman,,,,,,,,,,,
tax_fncact_spokesmen,spokesmen,,,,,,,,,,,
tax_fncact_spokesperson,spokesperson,,,,,,,,,,,
tax_fncact_spokeswoman,spokeswoman,,,,,,,,,,,
tax_fncact_spokeswomen,spokeswomen,,,,,,,,,,,
tax_fncact_sportsman,sportsman,,,,,,,,,,,
tax_fncact_spy,spy,,,,,,,,,,,
tax_fncact_squire,squire,,,,,,,,,,,
tax_fncact_staff_member,staff member,,,,1,,,,,,,
tax_fncact_staff_members,staff members,,,,1,,,,,,,
tax_fncact_staffer,staffer,,,,1,,,,,,,
tax_fncact_staffers,staffers,,,,1,,,,,,,
tax_fncact_stalker,stalker,,,,,,,,,,,
tax_fncact_state_senator,state senator,,,,,,,,,,,
tax_fncact_statesman,statesman,,,,,,,,,,,
tax_fncact_statesmen,statesmen,,,,,,,,,,,
tax_fncact_statistician,statistician,,,,,,,,,,,
tax_fncact_steward,steward,,,,,,,,,,,
tax_fncact_stewardess,stewardess,,,,,,,,,,,
tax_fncact_stewards,stewards,,,,,,,,,,,
tax_fncact_storyteller,storyteller,,,,,,,,,,,
tax_fncact_striker,striker,,,,,,,,,,,
tax_fncact_strikers,strikers,,,,,,,,,,,
tax_fncact_student,student,,,,,,,,,,,
tax_fncact_students,students,,,,,,,,,,,
tax_fncact_stylist,stylist,,,,,,,,,,,
tax_fncact_stylists,stylists,,,,,,,,,,,
tax_fncact_superintendent,superintendent,,,,,,,,,,,
tax_fncact_superintendents,superintendents,,,,,,,,,,,
tax_fncact_superman,superman,,,,,,,,,,,
tax_fncact_supermen,supermen,,,,,,,,,,,
tax_fncact_supervisor,supervisor,,,,,,,,,,,
tax_fncact_supervisors,supervisors,,,,,,,,,,,
tax_fncact_supporter,supporter,,,,,,,,,,,
tax_fncact_supporters,supporters,,,,,,,,,,,
tax_fncact_surgeon,surgeon,,,,,,,,,,,
tax_fncact_surgeons,surgeons,,,,,,,,,,,
tax_fncact_surveyor,surveyor,,,,,,,,,,,
tax_fncact_swimmer,swimmer,,,,,,,,,,,
tax_fncact_taxi_driver,taxidriver,,,,,,,,,,,
tax_fncact_teacher,teacher,,,,,,,,,,,
tax_fncact_technical_director,technical director,,,,,,,,,,,
tax_fncact_technician,technician,,,,,,,,,,,
tax_fncact_technicians,technicians,,,,,,,,,,,
tax_fncact_technocrats,technocrats,,,,,,,,,,,
tax_fncact_teller,teller,,,,,,,,,,,
tax_fncact_temporary_workers,temporary workers,,,,,,,,,,,
tax_fncact_tenant,tenant,,,,,,,,,,,
tax_fncact_tenants,tenants,,,,,,,,,,,
tax_fncact_the_groom,groom,,,,,,,,,,,
tax_fncact_theologian,theologian,,,,,,,,,,,
tax_fncact_therapist,therapist,,,,,,,,,,,
tax_fncact_therapists,therapists,,,,,,,,,,,
tax_fncact_thief,thief,,,,,,,,,,,
tax_fncact_thieves,thieves,,,,,,,,,,,
tax_fncact_tour_guide,guide,,,,,,,,,,,
tax_fncact_tourist,tourist,,,,,,,,,,,
tax_fncact_tourists,tourists,,,,,,,,,,,
tax_fncact_town_clerk,town clerk,,,,,,,,,,,
tax_fncact_trade_unionists,trade unionists,,,,,,,,,,,
tax_fncact_trader,trader,,,,,,,,,,,
tax_fncact_traders,traders,,,,,,,,,,,
tax_fncact_trainer,trainer,,,,,,,,,,,
tax_fncact_trainers,trainers,,,,,,,,,,,
tax_fncact_translator,translator,,,,,,,,,,,
tax_fncact_travel_agent,travel agent,,,,,,,,,,,
tax_fncact_treasurer,treasurer,,,,,,,,,,,
tax_fncact_trial_judge,trial judge,,,,,,,,,,,
tax_fncact_trooper,trooper,,,,,,,,,,,
tax_fncact_troopers,troopers,,,,,,,,,,,
tax_fncact_troops,troops,,,,,,,,,,,
tax_fncact_truck_driver,truckdriver,,,,,,,,,,,
tax_fncact_trucker,trucker,,,,,,,,,,,
tax_fncact_truckers,truckers,,,,,,,,,,,
tax_fncact_tutor,tutor,,,,,,,,,,,
tax_fncact_undersecretary,undersecretary,,,,,,,,,,,
tax_fncact_unemployed,unemployed,,,,1,,,,1,,,
tax_fncact_union_member,union member,,,,,,,,1,,,
tax_fncact_union_members,union members,,,,,,,,1,,,
tax_fncact_unionist,unionist,,,,,,,,1,,,
tax_fncact_unionists,unionists,,,,,,,,1,,,
tax_fncact_usher,usher,,,,,,,,,,,
tax_fncact_valet,valet,,,,,,,,,,,
tax_fncact_vendor,vendor,,,,,,,,,,,
tax_fncact_vet,vet,,,,,,,,,,,
tax_fncact_veteran,veteran,,,,,,,,,,,
tax_fncact_veterans,veterans,,,,,,,,,,,
tax_fncact_veterinarian,veterinarian,,,,,,,,,,,
tax_fncact_veterinarians,veterinarians,,,,,,,,,,,
tax_fncact_vets,vets,,,,,,,,,,,
tax_fncact_vicar,vicar,,,,,,,,,,,
tax_fncact_vice_chairman,vice chairman,,,1,,,,,,,,
tax_fncact_vice_chairmen,vice chairmen,,,1,,,,,,,,
tax_fncact_vice_chancellor,vice chancellor,,,1,,,,,,,,
tax_fncact_vice_president,vice president,,,1,,,,,,,,
tax_fncact_vice_presidents,vice presidents,,,1,,,,,,,,
tax_fncact_victim,victim,,,,,,,,,,,
tax_fncact_victims,victims,,,,,,,,,,,
tax_fncact_vigilante,vigilante,,,,,,,,,,,
tax_fncact_vigilantes,vigilantes,,,,,,,,,,,
tax_fncact_villager,villager,,,,,,,,,,,
tax_fncact_villagers,villagers,,,,,,,,,,,
tax_fncact_violinist,violinist,,,,,,,,,,,
tax_fncact_volunteer,volunteer,,,,,,,,,,,
tax_fncact_volunteers,volunteers,,,,,,,,,,,
tax_fncact_waiter,waiter,,,,,,,,,,,
tax_fncact_waiters,waiters,,,,,,,,,,,
tax_fncact_waitress,waitress,,,,,,,,,,,
tax_fncact_walker,walker,,,,,,,,,,,
tax_fncact_warden,warden,,,,,,,,,,,
tax_fncact_warlord,warlord,,,,,,,,,,,
tax_fncact_warrior,warrior,,,,,,,,,,,
tax_fncact_warriors,warriors,,,,,,,,,,,
tax_fncact_watchman,watchman,,,,,,,,,,,
tax_fncact_weatherman,weatherman,,,,,,,,,,,
tax_fncact_weaver,weaver,,,,,,,,,,,
tax_fncact_webmaster,web master,,,,,,,,,,,
tax_fncact_wholesaler,wholesaler,,,,,,,,,,,
tax_fncact_whore,whore,,,,,,,,,,,
tax_fncact_winemaker,winemaker,,,,,,,,,,,
tax_fncact_witch,witch,,,,,,,,,,,
tax_fncact_wizard,wizard,,,,,,,,,,,
tax_fncact_woman,woman,,,,,,,,,,,
tax_fncact_women,women,,,,,,,,,,,
tax_fncact_worker,worker,,,,1,,,,1,,,
tax_fncact_workers,workers,,,,1,,,,,,,
tax_fncact_wrestler,wrestler,,,,,,,,,,,
tax_fncact_writer,writer,,,,,,,,,,,
tax_fncact_wrongdoers,wrongdoers,,,,,,,,,,,
tax_fncact_youngster,youngster,,,,,,,,,,,
tax_fncact_youngsters,youngsters,,,,,,,,,,,
tax_foodstaples,food staples,,,,,,,,,,,
tax_foodstaples_bananas,food staples bananas,,,,,,,,,,,
tax_foodstaples_barley,food staples barley,,,,,,,,,,,
tax_foodstaples_bread,food staples bread,,,,,,,,,,,
tax_foodstaples_cassava,food staples cassava,,,,,,,,,,,
tax_foodstaples_cereal,food staples cereal,,,,,,,,,,,
tax_foodstaples_cereals,food staples cereals,,,,,,,,,,,
tax_foodstaples_coconut_oil,oil,,,,,,,,,,,
tax_foodstaples_corn,food staples corn,,,,,,,,,,,
tax_foodstaples_eggs,food staples eggs,,,,,,,,,,,
tax_foodstaples_grain,food staples grain,,,,,,,,,,,
